,Q,Score Type,Time Remaining,Play,AZ,NO
2,2,TD,14:37,Darren Smallwood 6 yd run. (Peg Leg kick),0,7
3,2,TD,8:24,Paul DiMirio 26 yd pass from Borkus Maximus III. (Peg Leg kick),0,14
4,2,TD,3:14,Reg Mackworthy 1 yd run. (Dean Jackson kick),7,14
5,2,FG,0:17,42 yd FG by Peg Leg,7,17
7,3,TD,2:50,Reg Mackworthy 5 yd run. (Dean Jackson kick),14,17
8,3,FG,1:17,37 yd FG by Dean Jackson,17,17
9,3,FG,0:18,40 yd FG by Dean Jackson,20,17
11,4,TD,12:02,Charlie Law 28 yd pass from Borkus Maximus III. (Peg Leg kick),20,24
12,4,FG,5:55,44 yd FG by Peg Leg,20,27
13,4,TD,4:35,Charlie Law 6 yd pass from Borkus Maximus III. (Peg Leg kick),20,34
