,Q,Score Type,Time Remaining,Play,HON,AUS
1,1,FG,9:30,35 yd FG by Venus Powers,3,0
2,1,TD,2:24,Zoe Watts (C) 1 yd run. (Pseudo QB (R) kick),3,7
4,2,FG,13:25,41 yd FG by Pseudo QB (R),3,10
5,2,FG,9:28,39 yd FG by Venus Powers,6,10
6,2,TD,4:36,Zoe Watts (C) 1 yd run. (Pseudo QB (R) kick),6,17
8,3,TD,14:02,Jed Podolak 8 yd pass from Luke Skywalker (C). (Venus Powers kick),13,17
9,3,TD,9:43,Korbin Brown 33 yd pass from Luke Skywalker (C). (Venus Powers kick),20,17
10,3,FG,6:53,42 yd FG by Pseudo QB (R),20,20
11,3,FG,1:54,35 yd FG by Venus Powers,23,20
13,4,TD,12:25,Friedrich Vequain (R) 1 yd pass from Easton Cole. (Pseudo QB (R) kick),23,27
14,4,TD,11:04,Korbin Brown 8 yd pass from Luke Skywalker (C). (Venus Powers kick),30,27
15,4,TD,0:48,Friedrich Vequain (R) 8 yd pass from Easton Cole. (Pseudo QB (R) kick),30,34
