,Q,Score Type,Time Remaining,Play,AZ,OCO
1,1,TD,4:50,Hugh Mongo 5 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),0,7
2,1,TD,0:46,Hugh Mongo 18 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),0,14
4,2,TD,10:02,Johnny Blaze 10 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),0,21
5,2,FG,7:26,39 yd FG by Alex Dasistwirklichseinnachname,0,24
6,2,TD,1:50,Siddhu Sarvepally (R) 4 yd run. (Alex Dasistwirklichseinnachname kick),0,31
8,3,FG,11:29,31 yd FG by Alex Dasistwirklichseinnachname,0,34
9,3,TD,5:57,Ludicolo Bigby 6 yd run. (Alex Dasistwirklichseinnachname kick),0,41
10,3,TD,0:58,Jah Bur'Berry 12 yd pass from Jay Cue. (J.J. Jay-Jaymison (R) kick),7,41
12,4,TD,12:59,Siddhu Sarvepally (R) 1 yd run. (Alex Dasistwirklichseinnachname kick),7,48
13,4,TD,12:42,Lucas Knight 108 yd kickoff return. (J.J. Jay-Jaymison (R) kick),14,48
14,4,FG,8:11,42 yd FG by J.J. Jay-Jaymison (R),17,48
15,4,TD,0:32,Siddhu Sarvepally (R) 6 yd run. (Alex Dasistwirklichseinnachname kick),17,55
