Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Fletcher, G.",BAL,6,0,0,0,0,0,0,0,0,0,0,0,10,5
"Kyubee, S.",BAL,5,0,0,0,0,0,0,0,0,0,0,0,10,5
"Metas, B.",BAL,5,0,2,0,0,0,0,0,0,0,0,0,10,5
"Valentine, V.",BAL,5,1,0,0,0,0,0,0,0,0,0,0,10,5
"Andres, J.",BAL,4,0,1,0,0,0,0,0,0,0,0,0,10,5
"Delacour, A.",BAL,4,0,0,0,0,0,0,0,0,0,0,0,10,5
"Harrison, S.",BAL,4,0,0,0,0,0,0,0,0,0,0,0,10,5
"Broadway, E.",BAL,3,0,0,1,0,0,0,0,0,0,0,0,10,5
"Hendrix, K.",BAL,2,1,0,0,0,0,0,0,0,0,0,0,10,5
"Turner, D.",BAL,2,0,0,4,0,0,0,0,0,0,0,0,10,5
"Lee, J.",PHI,8,1,1,0,0,0,0,0,0,0,0,0,10,5
"Marmeladov, V.",PHI,8,1,0,1,1,0,1,0,0,0,0,0,10,5
"Hackett, A.",PHI,6,0,0,1,1,0,0,0,0,0,0,0,10,5
"Flock, R.",PHI,5,0,0,0,0,0,0,0,0,0,0,0,10,5
"Davidson, D.",PHI,4,1,0,0,0,0,0,0,0,0,0,0,10,5
"Hendrix, M.",PHI,4,0,0,0,0,0,0,0,0,0,0,0,10,5
"King, G.",PHI,4,1,0,0,0,0,0,0,0,0,0,0,10,5
"Cushing, K.",PHI,3,0,0,0,0,0,0,0,0,0,0,0,10,5
"Kamaka, E.",PHI,2,0,1,0,0,0,0,0,0,0,0,0,10,5
"Oles, T.",PHI,2,0,0,1,0,0,0,0,0,0,0,0,10,5
