,Q,Score Type,Time Remaining,Play,BAL,ARI
1,1,TD,9:23,Reg Mackworthy 8 yd run. (Cristiano Ronaldo kick),0,7
2,1,FG,5:06,38 yd FG by Turk Turkleton,3,7
3,1,TD,2:20,Franklin Harris Jr. 24 yd interception return. (Cristiano Ronaldo kick),3,14
5,2,FG,11:37,42 yd FG by Turk Turkleton,6,14
6,2,TD,1:24,Allen Davis 22 yd interception return. (Cristiano Ronaldo kick),6,21
8,3,TD,10:52,Charles Arthur Chess 1 yd pass from King Bronko. (Cristiano Ronaldo kick),6,28
10,4,TD,12:19,Charlie Law 15 yd pass from King Bronko. (Cristiano Ronaldo kick),6,35
11,4,TD,7:06,Charles Arthur Chess 4 yd pass from King Bronko. (Cristiano Ronaldo kick),6,42
12,4,TD,3:40,Charles Arthur Chess 3 yd pass from King Bronko. (Cristiano Ronaldo kick),6,49
13,4,TD,2:09,Darlane Farlane 2 yd run. (Turk Turkleton XP no good),12,49
