Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"King, G.",ARI,2,20,0,0
"Bot, B.",ARI,1,5,0,0
"Dam, D.",ARI,1,5,0,0
"Evans, D.",ARI,1,5,0,0
"Law, C.",ARI,1,5,0,0
"Tuck, J.",ARI,0,0,6,0
"Thomas, A.",ARI,0,0,5,1
"Asipi, A.",ARI,0,0,5,0
"Schmarchetype, A.",ARI,0,0,5,0
"Pancake, P.",ARI,0,0,3,0
"Pest, T.",ARI,0,0,2,1
"Timlin, S.",ARI,0,0,1,1
"Mackworthy, R.",ARI,0,0,1,0
"Andres, J.",BAL,2,17,4,0
"Lee, B.",BAL,1,5,1,5
"Danvers, J.",BAL,1,15,1,0
"Taylor, O.",BAL,1,15,0,0
"Vincent, M.",BAL,1,10,0,0
"Blocksdale, A.",BAL,0,0,10,0
"Koch, D.",BAL,0,0,2,2
"Farlane, D.",BAL,0,0,1,1
