,Q,Score Type,Time Remaining,Play,YKW,NO
1,1,FG,8:24,20 yd FG by Blago Kokot,3,0
2,1,TD,4:20,Colby Jack 14 yd run. (Blago Kokot kick),10,0
4,2,FG,12:14,36 yd FG by Blago Kokot,13,0
5,2,TD,7:03,Austin McCormick 9 yd pass from Ben Slothlisberger. (Lefty Louis XP no good),13,6
6,2,TD,4:45,Acura Skyline 1 yd run. (Blago Kokot kick),20,6
7,2,TD,0:06,Brock Bodenhamer 24 yd pass from Ben Slothlisberger. (Lefty Louis kick),20,13
9,3,TD,3:34,Marcella Toriki (C) 3 yd run. (Lefty Louis kick),20,20
11,4,FG,14:54,40 yd FG by Blago Kokot,23,20
12,4,FG,6:08,45 yd FG by Blago Kokot,26,20
13,4,TD,0:08,Marcella Toriki (C) 3 yd run. (Lefty Louis kick),26,27
