Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Browning, B.",BAL,2,15,0,0,8,10
"Jeremy, R.",BAL,0,0,4,0,8,10
"Star, L.",BAL,0,0,3,1,8,10
"Harp, D.",BAL,0,0,2,0,8,10
"Diggler, D.",BAL,0,0,2,0,8,10
"Grey, S.",BAL,0,0,2,0,8,10
"Taylor, O.",BAL,0,0,1,1,8,10
"Steele, R.",BAL,0,0,1,0,8,10
"Pooky, S.",YKW,2,10,1,0,8,10
"Skinner, Z.",YKW,1,5,0,0,8,10
"Tweed, B.",YKW,1,15,0,0,8,10
"Mushing, M.",YKW,0,0,6,0,8,10
"Rchon, A.",YKW,0,0,4,2,8,10
"Harris Jr., F.",YKW,0,0,3,1,8,10
"Ones, B.",YKW,0,0,3,0,8,10
"Rainey, R.",YKW,0,0,1,1,8,10
"Amper, T.",YKW,0,0,1,0,8,10
