,Q,Score Type,Time Remaining,Play,OCO,NO
1,1,TD,12:04,Bradley Westfield 10 yd pass from Mike Boss. (Bradley Madlad XP no good),6,0
2,1,TD,8:27,Darren Smallwood 1 yd run. (Iyah Blewitt kick),6,7
3,1,FG,3:33,39 yd FG by Bradley Madlad,9,7
4,1,TD,1:48,Darren Smallwood 7 yd run. (Iyah Blewitt kick),9,14
6,2,FG,13:32,23 yd FG by Bradley Madlad,12,14
7,2,FG,9:45,51 yd FG by Iyah Blewitt,12,17
8,2,FG,5:26,39 yd FG by Iyah Blewitt,12,20
9,2,FG,0:17,43 yd FG by Iyah Blewitt,12,23
11,3,TD,10:42,Charlie Law 14 yd pass from Borkus Maximus III. (Iyah Blewitt kick),12,30
12,3,TD,8:24,Carlito Crush 12 yd pass from Mike Boss. (Bradley Madlad kick),19,30
13,3,FG,4:46,43 yd FG by Iyah Blewitt,19,33
15,4,FG,10:50,57 yd FG by Bradley Madlad,22,33
16,4,TD,5:57,Darren Smallwood 2 yd run. (Iyah Blewitt kick),22,40
