Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Bode, Q.",NO,8,0,0,0,0,0,0,0,0,0,0,0,1,18
"Watkins, R.",NO,8,0,0,1,0,0,0,0,0,0,0,0,1,18
"Kassel, T.",NO,6,0,0,1,0,0,0,0,0,0,0,0,1,18
"Rector, D.",NO,6,0,0,1,0,0,0,0,0,0,0,0,1,18
"Swift, T.",NO,5,0,0,0,0,0,0,0,0,0,0,0,1,18
"Andrews, J.",NO,4,0,0,2,0,0,0,0,0,0,0,0,1,18
"Taylor, D.",NO,3,0,0,1,0,0,0,0,0,0,0,0,1,18
"Ironside, B.",NO,2,0,0,0,0,0,0,0,0,0,0,0,1,18
"Slothface, J.",NO,2,1,0,0,0,0,0,0,0,0,0,0,1,18
"Faux, B.",NO,1,0,1,0,0,0,0,0,0,0,0,0,1,18
"Jensen, C.",AUS,11,0,0,1,0,0,0,0,0,0,0,0,1,18
"Kuusela, G.",AUS,9,0,1,0,0,0,0,0,0,0,0,0,1,18
"Bakshi, S.",AUS,8,0,0,0,0,0,0,0,0,0,0,0,1,18
"Edmond, H.",AUS,7,0,0,0,0,0,0,0,0,0,0,0,1,18
"Lavelle Jr., D.",AUS,6,0,0,2,0,0,0,0,0,0,0,0,1,18
"Gaines, N.",AUS,5,0,0,1,0,0,0,0,0,0,0,0,1,18
"Okura, T.",AUS,4,0,0,0,0,0,0,0,0,0,0,0,1,18
"Bradberton, J.",AUS,3,0,0,0,0,0,0,0,0,0,0,0,1,18
"Adams, X.",AUS,2,0,0,0,0,0,0,0,0,0,0,0,1,18
"Ennis, B.",AUS,2,0,1,0,0,0,0,0,0,0,0,0,1,18
