,Q,Score Type,Time Remaining,Play,AUS,CHI
1,1,FG,11:59,37 yd FG by Alfredo Crisco,3,0
2,1,FG,7:00,36 yd FG by Diego Espinosa,3,3
3,1,FG,4:13,62 yd FG by Alfredo Crisco,6,3
4,1,FG,0:11,44 yd FG by Diego Espinosa,6,6
6,2,TD,6:35,Rod Tidwell 1 yd pass from Easton Cole. (Alfredo Crisco kick),13,6
7,2,FG,4:30,41 yd FG by Alfredo Crisco,16,6
8,2,FG,0:12,18 yd FG by Diego Espinosa,16,9
10,3,TD,6:54,Sean O'Leary 12 yd pass from Rose Jenkins. (Diego Espinosa kick),16,16
11,3,TD,1:36,Net Gaines 12 yd pass from Easton Cole. (Alfredo Crisco kick),23,16
13,4,TD,11:13,Easton Cole 9 yd run. (Alfredo Crisco kick),30,16
14,4,TD,5:48,Leighton Lee 29 yd interception return. (Diego Espinosa kick),30,23
15,4,TD,0:00,Sean O'Leary 6 yd pass from Rose Jenkins. (Diego Espinosa kick),30,30
17,5,TD,10:24,Imma Blockit 6 yd pass from Easton Cole.,36,30
