,Q,Score Type,Time Remaining,Play,AZ,NO
1,1,TD,5:52,Andrew Witten 52 yd interception return. (Herbert Prohaska kick),0,7
3,2,FG,13:50,35 yd FG by J.J. Jay-Jaymison,3,7
4,2,TD,10:44,Austin McCormick 7 yd pass from Ben Slothisberger (R). (Herbert Prohaska kick),3,14
5,2,TD,5:50,Rainier Wolfcastle 9 yd pass from Ben Slothisberger (R). (Herbert Prohaska kick),3,21
6,2,FG,0:14,17 yd FG by Herbert Prohaska,3,24
8,3,FG,9:53,52 yd FG by Herbert Prohaska,3,27
9,3,FG,2:39,40 yd FG by J.J. Jay-Jaymison,6,27
10,3,FG,0:22,45 yd FG by J.J. Jay-Jaymison,9,27
12,4,FG,9:45,27 yd FG by J.J. Jay-Jaymison,12,27
13,4,FG,6:57,30 yd FG by Herbert Prohaska,12,30
14,4,TD,0:00,Forrest Gump 1 yd run. (Herbert Prohaska kick),12,37
