,Q,Score Type,Time Remaining,Play,AZ,NO
1,1,TD,4:12,Vladimir Fyodorovich 25 yd pass from Borkus Maximus III. (Beat Meoff kick),0,7
2,1,TD,0:00,Borkus Maximus III 6 yd run. (Beat Meoff kick),0,14
4,2,TD,13:09,Aksel Danielsson 2 yd run. (Beat Meoff kick),0,21
5,2,FG,1:49,34 yd FG by Beat Meoff,0,24
7,3,FG,10:27,47 yd FG by Beat Meoff,0,27
8,3,TD,9:16,Gordon Ramsey Jr. 49 yd interception return. (Beat Meoff kick),0,34
9,3,TD,1:55,Borkus Maximus III 15 yd run. (Beat Meoff kick),0,41
11,4,FG,9:28,19 yd FG by Dean Jackson,3,41
12,4,FG,3:21,45 yd FG by Beat Meoff,3,44
13,4,TD,1:23,Borkus Maximus III 22 yd run. (Beat Meoff kick),3,51
