Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Weston, S.",SJS,2,10,0,0,1,4
"Rucker, F.",SJS,1,5,4,1,1,4
"Tacktheritrix, J.",SJS,1,10,4,0,1,4
"Bottles, B.",SJS,1,15,1,0,1,4
"Lee, J.",SJS,1,5,0,0,1,4
"McKoutchie, M.",SJS,0,0,3,0,1,4
"Probincrux III, D.",SJS,0,0,3,0,1,4
"Sharp, B.",SJS,0,0,1,0,1,4
"Novel, L.",COL,2,10,0,0,1,4
"One, B.",COL,1,5,7,0,1,4
"Two, B.",COL,1,5,3,0,1,4
"Erikson, V.",COL,1,5,0,0,1,4
"Krimlaw, A.",COL,1,5,0,0,1,4
"Skidmarks, S.",COL,1,5,0,0,1,4
"Four, B.",COL,0,0,4,1,1,4
"Sphincter, A.",COL,0,0,4,0,1,4
"Three, B.",COL,0,0,3,1,1,4
"Joyce, S.",COL,0,0,1,0,1,4
