,Q,Score Type,Time Remaining,Play,COL,SJS
1,1,FG,10:49,25 yd FG by Bojo Kicksit,3,0
2,1,TD,3:19,Mayran Jackson 27 yd pass from Chris Orosz. (Iyah Blewitt kick),3,7
3,1,TD,0:34,John Canton 75 yd interception return. (Iyah Blewitt kick),3,14
5,2,TD,10:31,Mayran Jackson 12 yd pass from Chris Orosz. (Iyah Blewitt kick),3,21
6,2,TD,6:13,Boss Tweed 1 yd run. (Bojo Kicksit kick),10,21
7,2,TD,0:20,Jordan Yates 4 yd run. (Iyah Blewitt kick),10,28
9,3,TD,4:06,Damian West 14 yd pass from Nicholas Pierno. (Bojo Kicksit kick),17,28
11,4,TD,13:23,Darren Smallwood 13 yd pass from Chris Orosz. (Iyah Blewitt kick),17,35
12,4,FG,10:47,36 yd FG by Bojo Kicksit,20,35
13,4,TD,4:34,Denzel Diaz 3 yd run. (Iyah Blewitt kick),20,42
14,4,TD,1:17,Denzel Diaz 4 yd run. (Iyah Blewitt kick),20,49
