Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Rchonsucks, A.",YKW,2,15,2,0
"Canton, J.",YKW,1,15,1,0
"Z, D.",YKW,1,15,0,0
"Pooky, S.",YKW,0,0,5,0
"Mushing, M.",YKW,0,0,3,0
"Amper, T.",YKW,0,0,2,0
"Ones, B.",YKW,0,0,2,0
"Marshall, M.",YKW,0,0,1,0
"Henry, J.",CHI,2,20,0,0
"Watkins, R.",CHI,2,17,0,0
"Jackson, A.",CHI,1,10,0,0
"Rambo, J.",CHI,1,5,0,0
"Bright, C.",CHI,0,0,7,0
"177013, G.",CHI,0,0,6,1
"Sandburg, C.",CHI,0,0,4,0
"Ford Lalatina, D.",CHI,0,0,3,0
"Gordon, B.",CHI,0,0,3,0
"Harp, D.",CHI,0,0,3,0
"Brown, M.",CHI,0,0,1,1
"Danielsson, A.",CHI,0,0,1,0
"Utler, J.",CHI,0,0,1,0
