,Q,Score Type,Time Remaining,Play,PHI,AZ
1,1,FG,10:24,28 yd FG by Kulture Fulture,3,0
3,2,TD,10:37,Carter Bush 1 yd pass from Adriana Falconi. (Kulture Fulture kick),10,0
4,2,TD,5:58,Slim Shady 1 yd run. (Dean Jackson kick),10,7
5,2,FG,0:06,53 yd FG by Kulture Fulture,13,7
7,3,TD,11:35,Lucius Kaine (R) 8 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),13,14
8,3,FG,9:19,41 yd FG by Kulture Fulture,16,14
9,3,TD,4:31,Slim Shady 4 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),16,21
10,3,TD,2:28,Viggo Squanch 5 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),16,28
11,3,TD,0:00,Sam Hardwick 7 yd pass from Adriana Falconi. (Kulture Fulture kick),23,28
13,4,FG,10:12,47 yd FG by Dean Jackson,23,31
