Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Bot, B.",SJS,1,5,1,0,6,25
"Swift, N.",SJS,1,10,0,0,6,25
"Pancake, P.",SJS,0,0,9,0,6,25
"Pest, T.",SJS,0,0,4,1,6,25
"Johnson, R.",SJS,0,0,3,0,6,25
"Lee, B.",SJS,0,0,3,0,6,25
"Lackson, J.",SJS,0,0,1,3,6,25
"Cardrissian, R.",SJS,0,0,1,0,6,25
"George, D.",SJS,0,0,1,0,6,25
"McDavid, L.",NY,1,5,4,0,6,25
"Andrews, J.",NY,1,5,0,0,6,25
"Quail, D.",NY,0,0,7,0,6,25
"Rool, K.",NY,0,0,5,2,6,25
"Kong, D.",NY,0,0,3,0,6,25
"Kong, F.",NY,0,0,3,0,6,25
"Bawlls, B.",NY,0,0,2,0,6,25
"Kong, C.",NY,0,0,1,0,6,25
