Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Pooky, S.",YKW,1,10,3,0,5,13
"Cox, P.",YKW,1,15,0,0,5,13
"Dugnutt, B.",YKW,1,5,0,0,5,13
"Foster, W.",YKW,1,5,0,0,5,13
"Jefferson IV, J.",YKW,1,5,0,0,5,13
"Rchon, A.",YKW,0,0,5,0,5,13
"Amper, T.",YKW,0,0,2,0,5,13
"Ones, B.",YKW,0,0,2,0,5,13
"Pitcher, A.",YKW,0,0,2,0,5,13
"Probincrux III, D.",SJS,1,5,5,0,5,13
"McKoutchie, M.",SJS,1,5,3,0,5,13
"Justice, T.",SJS,1,15,0,0,5,13
"Jahelpme, H.",SJS,0,0,7,0,5,13
"Rucker, F.",SJS,0,0,3,0,5,13
"Tacktheritrix, J.",SJS,0,0,3,0,5,13
"Brannigan, Z.",SJS,0,0,2,0,5,13
"Orosz, C.",SJS,0,0,0,1,5,13
