,Q,Score Type,Time Remaining,Play,PHI,OCO
1,1,TD,10:34,Carlito Crush 58 yd pass from Mike Boss. (Bradley Madlad kick),0,7
2,1,TD,5:55,Carlito Crush 12 yd pass from Mike Boss. (Bradley Madlad kick),0,14
4,2,TD,13:33,Bradley Westfield 11 yd pass from Mike Boss. (Bradley Madlad kick),0,21
5,2,TD,12:00,Jordan Yates 4 yd run. (Bradley Madlad XP no good),0,27
6,2,FG,8:02,42 yd FG by Bradley Madlad,0,30
7,2,FG,2:41,32 yd FG by Beat (R) Meoff,3,30
9,3,FG,11:05,45 yd FG by Beat (R) Meoff,6,30
10,3,FG,3:04,37 yd FG by Beat (R) Meoff,9,30
11,3,TD,2:47,Marc Spector 102 yd kickoff return. (Bradley Madlad kick),9,37
13,4,TD,7:36,Bradley Westfield 2 yd pass from Mike Boss. (Bradley Madlad kick),9,44
