,Q,Score Type,Time Remaining,Play,SJS,COL
1,1,FG,11:48,37 yd FG by Iyah Blewitt,3,0
2,1,TD,5:34,Boss Tweed 7 yd run. (Micycle McCormick XP no good),3,6
3,1,FG,0:13,29 yd FG by Iyah Blewitt,6,6
5,2,TD,11:52,Mayran Jackson 19 yd pass from Chris Orosz. (Iyah Blewitt kick),13,6
6,2,TD,7:04,Zobot Catchem8 7 yd pass from Chris Orosz. (Iyah Blewitt kick),20,6
7,2,TD,2:15,Shane Weston 25 yd pass from Chris Orosz. (Iyah Blewitt kick),27,6
8,2,FG,1:12,24 yd FG by Iyah Blewitt,30,6
10,3,TD,8:17,Darren Smallwood 4 yd run. (Iyah Blewitt kick),37,6
11,3,TD,1:39,Boss Tweed 3 yd run. (Micycle McCormick kick),37,13
13,4,TD,13:00,Darren Smallwood 5 yd run. (Iyah Blewitt kick),44,13
14,4,TD,9:39,Brian Wheat 3 yd pass from Nicholas Pierno. (Micycle McCormick kick),44,20
