,Q,Score Type,Time Remaining,Play,BAL,NO
1,1,FG,12:17,38 yd FG by Beat Meoff,0,3
2,1,TD,5:04,Errol Maddox 13 yd pass from Childish Gambino. (Alex Frost XP no good),6,3
3,1,TD,1:57,Stan (R) Francisco 6 yd pass from Borkus Maximus III. (Beat Meoff kick),6,10
5,2,TD,13:35,Errol Maddox 25 yd pass from Childish Gambino. (Alex Frost kick),13,10
6,2,TD,7:40,Marquise Brown 3 yd run. (Alex Frost kick),20,10
7,2,FG,3:49,37 yd FG by Beat Meoff,20,13
9,3,FG,11:22,19 yd FG by Alex Frost,23,13
10,3,FG,6:57,23 yd FG by Beat Meoff,23,16
12,4,TD,14:47,Marquise Brown 1 yd run. (Alex Frost kick),30,16
13,4,FG,9:08,28 yd FG by Beat Meoff,30,19
