,Q,Score Type,Time Remaining,Play,YKW,SJS
1,1,TD,4:59,Eric Kennedy 30 yd pass from Mat Akselsen. (Joseph Lombardi kick),7,0
3,2,FG,9:08,31 yd FG by Joseph Lombardi,10,0
4,2,FG,6:01,18 yd FG by Iyah Blewitt,10,3
6,3,TD,9:57,Mayran Jackson 10 yd pass from Chris Orosz. (Iyah Blewitt kick),10,10
7,3,FG,6:30,25 yd FG by Joseph Lombardi,13,10
8,3,FG,4:23,46 yd FG by Joseph Lombardi,16,10
9,3,TD,1:31,Darren Smallwood 4 yd pass from Chris Orosz. (Iyah Blewitt kick),16,17
11,4,FG,12:38,31 yd FG by Joseph Lombardi,19,17
12,4,FG,8:04,30 yd FG by Iyah Blewitt,19,20
13,4,TD,3:50,Bubba Nuck 1 yd run. (2pt conversion good),27,20
