Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Burnsman, E.",OCO,1,5,2,0,8,7
"Wozy, F.",OCO,1,10,0,0,8,7
"Portman, N.",OCO,0,0,6,0,8,7
"Ridley, D.",OCO,0,0,3,2,8,7
"Clarke, E.",OCO,0,0,3,1,8,7
"O'Sullivan, S.",OCO,0,0,3,0,8,7
"Jones, F.",OCO,0,0,2,0,8,7
"Fisher, C.",OCO,0,0,1,0,8,7
"Diggler, D.",BAL,1,5,0,0,8,7
"Harrison, S.",BAL,1,5,0,0,8,7
"Wachter, J.",BAL,1,1,0,0,8,7
"Jeremy, R.",BAL,0,0,8,0,8,7
"Star, L.",BAL,0,0,5,2,8,7
"Steele, R.",BAL,0,0,5,1,8,7
"Grey, S.",BAL,0,0,4,0,8,7
"L'Alto, V.",BAL,0,0,1,0,8,7
"Taylor, O.",BAL,0,0,1,0,8,7
