Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Block, T.",AZ,1,15,3,1,7,24
"Jadakiss, D.",AZ,1,5,0,0,7,24
"Miller II, C.",AZ,1,5,0,0,7,24
"Buckley, B.",AZ,0,0,6,0,7,24
"Evans, H.",AZ,0,0,4,0,7,24
"Golladay, C.",AZ,0,0,2,1,7,24
"Arbage, G.",AZ,0,0,2,0,7,24
"Jones, J.",AZ,0,0,2,0,7,24
"Petrongolo, J.",AZ,0,0,2,0,7,24
"Unk, J.",AZ,0,0,0,1,7,24
"Guard, L.",COL,1,5,7,0,7,24
"Sauce, E.",COL,1,5,4,0,7,24
"McDummy, W.",COL,1,10,0,0,7,24
"Scott, R.",COL,1,5,0,0,7,24
"Magic, M.",COL,0,0,4,0,7,24
"Guard, R.",COL,0,0,3,0,7,24
"Gilbert, R.",COL,0,0,2,0,7,24
"Centre, S.",COL,0,0,1,2,7,24
"Thruster, D.",COL,0,0,1,1,7,24
"Owens, A.",COL,0,0,1,0,7,24
"Bumper, T.",COL,0,0,0,1,7,24
