,Q,Score Type,Time Remaining,Play,COL,CHI
1,1,TD,13:03,Wolfie McDummy 65 yd run. (Silver Banana (R) kick),7,0
2,1,FG,9:00,31 yd FG by Diego Espinosa,7,3
3,1,TD,0:51,Red Arrow (R) 21 yd pass from Wolfie McDummy. (Silver Banana (R) kick),14,3
5,2,TD,5:20,Laszlo Forty-Two 7 yd pass from Wolfie McDummy. (Silver Banana (R) kick),21,3
6,2,TD,1:17,Sean O'Leary 9 yd pass from Rose Jenkins. (Diego Espinosa kick),21,10
8,3,TD,14:40,Ahri Espeeyeeseetee 95 yd kickoff return. (Diego Espinosa kick),21,17
9,3,FG,2:30,17 yd FG by Silver Banana (R),24,17
11,4,FG,10:03,35 yd FG by Diego Espinosa,24,20
12,4,TD,3:38,Wolfie McDummy 48 yd run. (Silver Banana (R) kick),31,20
13,4,TD,1:29,Axel Hornbacher 34 yd interception return. (Silver Banana (R) kick),38,20
