Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Brew, S.",NO,1,5,5,0
"Toriki, M.",NO,1,9,3,1
"Ironside, B.",NO,1,5,0,0
"Rubbe, G.",NO,0,0,6,0
"Ulysses, B.",NO,0,0,4,0
"Ofyourlove, S.",NO,0,0,3,0
"Room, W.",NO,0,0,2,0
"Gump, F.",NO,0,0,1,0
"McCormick, A.",NO,0,0,1,0
"Bradberton, J.",AUS,1,15,0,0
"Idlewyld, K.",AUS,1,5,0,0
"Tidwell, R.",AUS,1,10,0,0
"Beaver-Dantes, E.",AUS,0,0,9,0
"A'Barelyanything, L.",AUS,0,0,8,0
"A'Ton, L.",AUS,0,0,3,0
"Mendonca, M.",AUS,0,0,3,0
"Blockit, I.",AUS,0,0,2,1
"Larson, P.",AUS,0,0,2,0
"A'Little, L.",AUS,0,0,1,3
"A'Moderateamount, L.",AUS,0,0,1,0
