,Q,Score Type,Time Remaining,Play,OCO,LV
1,1,TD,12:32,Bradley Westfield 18 yd pass from Mike Boss. (Bradley Madlad kick),7,0
2,1,SF,6:21,Mike Boss tackled for a safety.,7,2
4,2,TD,10:01,Bradley Westfield 69 yd punt return. (Bradley Madlad kick),14,2
5,2,TD,5:47,Ardie Savea 6 yd run. (Bojo Kicksit kick),14,9
6,2,FG,0:27,21 yd FG by Bradley Madlad,17,9
7,2,FG,0:20,54 yd FG by Bojo Kicksit,17,12
9,3,FG,11:06,42 yd FG by Bojo Kicksit,17,15
10,3,TD,9:18,Bradley Westfield 71 yd pass from Mike Boss. (Bradley Madlad kick),24,15
11,3,FG,4:51,50 yd FG by Bojo Kicksit,24,18
13,4,TD,13:47,Jordan Yates 1 yd run. (Bradley Madlad kick),31,18
14,4,FG,8:53,38 yd FG by Bojo Kicksit,31,21
15,4,TD,7:07,Jordan Yates 68 yd pass from Mike Boss. (Bradley Madlad kick),38,21
16,4,TD,1:42,Steven O'Sullivan 22 yd pass from Mike Boss. (Bradley Madlad kick),45,21
