,Q,Score Type,Time Remaining,Play,OCO,AUS
1,1,TD,10:25,Kazimir Oles 34 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),7,0
2,1,TD,5:26,Mako Mendonca 3 yd run. (Alfredo Crisco kick),7,7
3,1,TD,1:46,Apollo Reed 3 yd run. (Alex Dasistwirklichseinnachname kick),14,7
5,2,TD,13:19,Mako Mendonca 1 yd run. (Alfredo Crisco kick),14,14
6,2,TD,10:10,Tyrone Biggums 45 yd interception return. (Alex Dasistwirklichseinnachname kick),21,14
7,2,FG,0:29,46 yd FG by Alex Dasistwirklichseinnachname,24,14
9,3,FG,5:51,20 yd FG by Alfredo Crisco,24,17
10,3,TD,3:02,Jacoby Clay (R) 10 yd pass from Easton Cole. (Alfredo Crisco kick),24,24
12,4,TD,14:33,Peter Larson 9 yd pass from Easton Cole. (Alfredo Crisco kick),24,31
13,4,FG,11:04,47 yd FG by Alfredo Crisco,24,34
14,4,FG,7:35,30 yd FG by Alex Dasistwirklichseinnachname,27,34
15,4,FG,2:20,39 yd FG by Alfredo Crisco,27,37
