Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Evans, D.",NO,8,146,18.2,58,0,3,6
"Tomatonose, P.",NO,7,44,6.3,10,0,3,6
"Omega, K.",NO,6,65,10.8,21,1,3,6
"Booter, F.",NO,6,46,7.7,11,0,3,6
"Savea, A.",NO,1,11,11,11,0,3,6
"Legion, A.",NO,1,9,9,9,1,3,6
"Tenzini, G.",NO,1,3,3,3,0,3,6
"O'Sullivan, C.",NO,1,2,2,2,0,3,6
"Browning, B.",AZ,5,65,13,22,1,3,6
"Chess, C.",AZ,4,57,14.2,31,0,3,6
"Law, C.",AZ,2,16,8,10,0,3,6
"Hayden, A.",AZ,1,35,35,35,0,3,6
"Wright, O.",AZ,1,25,25,25,0,3,6
"Mackworthy, R.",AZ,1,8,8,8,0,3,6
