Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Brew, S.",NO,0,0,8,1
"Rubbe, G.",NO,0,0,6,0
"McCormick, A.",NO,0,0,5,1
"Ofyourlove, S.",NO,0,0,4,0
"Room, W.",NO,0,0,4,0
"Jimbo Jr., D.",NO,0,0,3,1
"Gump, F.",NO,0,0,2,0
"Wolfcastle, R.",NO,0,0,2,0
"Toriki, M.",NO,0,0,1,0
"Saurus, A.",AUS,2,10,6,0
"Beaver-Dantes, E.",AUS,1,5,3,0
"Idlewyld, K.",AUS,1,5,0,0
"Jones, K.",AUS,1,5,0,0
"McTackle, R.",AUS,1,5,0,0
"Sexjoke, A.",AUS,1,5,0,0
"Tidwell, R.",AUS,1,7,0,0
"Fassingit, H.",AUS,0,0,4,1
"Saurus, B.",AUS,0,0,3,0
"Saurus, S.",AUS,0,0,1,0
