Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Hexagon, L.",NO,9,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Adams, X.",NO,5,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Bode, Q.",NO,5,0,0,1/0,1,1,0,0,"[0, 0, 0]"
"Witten, A.",NO,5,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Rector, D.",NO,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Blaylock, M.",NO,3,0,1,0/1,1,0,0,0,"[0, 0, 0]"
"Dissector, U.",NO,3,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Steel, H.",NO,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Tu'inukuafe, B.",NO,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Rikiya, M.",NO,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Claxton, S.",AUS,10,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Okura, T.",AUS,10,0,0,1/1,1,0,0,0,"[0, 0, 0]"
"Summers, H.",AUS,10,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Edmond, H.",AUS,9,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Sexjoke, A.",AUS,7,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Lavelle Jr., D.",AUS,6,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"MacGregor, G.",AUS,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Idlewyld, K.",AUS,5,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Egghands, T.",AUS,1,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"McTackle, R.",AUS,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Mendoza, C.",AUS,1,0,0,0/0,3,1,0,0,"[0, 0, 0]"
