Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Roenick, A.",BAL,5,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Willie, T.",BAL,5,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Arnold, D.",BAL,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Oats, D.",BAL,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Mbanefo, K.",BAL,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Blocksdale, A.",BAL,3,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Fletcher, G.",BAL,3,0,0,0/0,3,0,0,0,"[0, 0, 0]"
"Joshua, C.",BAL,3,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Asipi Jr., A.",BAL,2,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Hendrix, K.",BAL,2,2,0,0/0,0,0,0,0,"[0, 0, 0]"
"Gambino, C.",BAL,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Ishigawa, H.",COL,17,0,0,0/1,2,1,0,0,"[0, 0, 0]"
"Tillman, M.",COL,11,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Anderson, R.",COL,10,0,0,1/0,4,0,0,0,"[0, 0, 0]"
"Miller, H.",COL,9,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Thibault, A.",COL,9,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Ludvig, O.",COL,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Pierno, N.",COL,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Sandoval, A.",COL,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Danger, D.",COL,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Knuckles, U.",COL,1,1,0,0/0,0,0,0,0,"[0, 0, 0]"
