Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Hendrix, K.",BAL,2,20,0,0
"Steele, R.",BAL,1,5,5,0
"Star, L.",BAL,1,10,4,0
"Oats, D.",BAL,1,5,0,0
"Valentine, V.",BAL,1,5,0,0
"Diggler, D.",BAL,0,0,5,0
"Jeremy, R.",BAL,0,0,5,0
"Harp, D.",BAL,0,0,4,0
"Grey, S.",BAL,0,0,3,0
"L'Alto, V.",BAL,0,0,2,0
"Taylor, O.",BAL,0,0,2,0
"RunMachine4, Z.",BAL,0,0,1,0
"Pierno, N.",COL,3,11,0,0
"Anderson, R.",COL,2,10,0,0
"LeFevre, R.",COL,1,5,0,0
"Ludvig, O.",COL,1,5,0,0
"Thibault, A.",COL,1,5,0,0
"Guard, L.",COL,0,0,6,0
"Guard, R.",COL,0,0,6,0
"Centre, S.",COL,0,0,3,0
"Tackle, L.",COL,0,0,3,0
"Tackle, R.",COL,0,0,2,0
"Grau, M.",COL,0,0,1,1
"Nyquist, W.",COL,0,0,1,0
