,Q,Score Type,Time Remaining,Play,SJS,OCO
1,1,TD,8:50,Chris Orosz 1 yd run. (Neo Donaldson XP no good),6,0
2,1,TD,4:53,Johnny Blaze 17 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),6,7
3,1,FG,0:18,38 yd FG by Neo Donaldson,9,7
5,2,TD,12:46,Apollo Reed 4 yd run. (Alex Dasistwirklichseinnachname kick),9,14
6,2,TD,4:32,Joliet L. Christ 4 yd run. (Neo Donaldson kick),16,14
7,2,FG,0:27,38 yd FG by Neo Donaldson,19,14
9,3,TD,11:06,None Sunnycursed 16 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),19,21
11,4,TD,11:28,Adrian Pitcher 5 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),19,28
12,4,FG,7:35,28 yd FG by Neo Donaldson,22,28
13,4,TD,3:43,Vinny Valentine 18 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),22,35
14,4,TD,0:55,Xavier Flash 5 yd pass from Joliet L. Christ. (Neo Donaldson kick),29,35
