,Q,Score Type,Time Remaining,Play,OCO,NO
1,1,TD,4:24,Tegan Atwell 2 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),7,0
3,2,FG,14:39,47 yd FG by Beat Meoff,7,3
4,2,TD,9:57,Vladimir Fyodorovich 14 yd pass from Borkus Maximus III. (Beat Meoff kick),7,10
5,2,TD,4:55,Darren Smallwood 4 yd run. (Beat Meoff kick),7,17
6,2,FG,0:25,31 yd FG by Adam (R) Anderson,10,17
8,3,FG,11:35,20 yd FG by Beat Meoff,10,20
9,3,TD,6:36,Paul DiMirio 13 yd pass from Borkus Maximus III. (Beat Meoff kick),10,27
10,3,TD,1:08,Vladimir Fyodorovich 17 yd pass from Borkus Maximus III. (Beat Meoff kick),10,34
12,4,FG,9:08,39 yd FG by Adam (R) Anderson,13,34
13,4,TD,2:33,Darren Smallwood 1 yd run. (Beat Meoff XP no good),13,40
