Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"David, M.",AZ,1,15,0,0,12,11
"Hobbs, S.",AZ,1,5,0,0,12,11
"Robotman, A.",AZ,0,0,7,0,12,11
"Robotman, C.",AZ,0,0,4,0,12,11
"Robotman, D.",AZ,0,0,4,0,12,11
"Robotman, B.",AZ,0,0,2,0,12,11
"Crindy, B.",AZ,0,0,1,0,12,11
"Mackworthy, R.",AZ,0,0,1,0,12,11
"Robotman, E.",AZ,0,0,1,0,12,11
"Ory, K.",NO,3,10,4,0,12,11
"Roll, J.",NO,1,5,6,0,12,11
"Ruffins, K.",NO,1,5,6,0,12,11
"Askins, J.",NO,1,5,0,0,12,11
"LeClair, A.",NO,1,11,0,0,12,11
"O'Sullivan, J.",NO,1,5,0,0,12,11
"Rax, L.",NO,1,5,0,0,12,11
"Smallwood, D.",NO,1,5,0,0,12,11
"Bolden, B.",NO,0,0,6,0,12,11
"Armstrong, L.",NO,0,0,4,0,12,11
"Yobanna-Kanayochukwu, C.",NO,0,0,3,0,12,11
"DiMirio, P.",NO,0,0,3,0,12,11
