Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Bigboy16, Z.",COL,2,10,3,1
"Forthward, B.",COL,1,15,3,0
"Law, D.",COL,1,5,0,0
"Marmeladov, V.",COL,1,5,0,0
"McNoodle, M.",COL,1,15,0,0
"Nasher, W.",COL,1,14,0,0
"Saint, J.",COL,1,15,0,0
"Rodriguez, B.",COL,0,0,8,0
"Bigboy15, Z.",COL,0,0,3,2
"Gucci, R.",COL,0,0,3,0
"Bigboy14, Z.",COL,0,0,1,0
"Hargrove, M.",COL,0,0,1,0
"Tiernan, L.",COL,0,0,1,0
"Ferguson, D.",YKW,3,20,6,1
"Cutter, D.",YKW,2,10,0,0
"Garden, J.",YKW,2,15,0,0
"Bigboy17, Z.",YKW,1,5,1,3
"Brownce, B.",YKW,1,5,1,1
"Maddox, R.",YKW,1,5,1,0
"Sanchez, P.",YKW,1,10,0,0
"Spearhead, J.",YKW,1,15,0,0
"Varga, T.",YKW,1,10,0,0
"Floggity, J.",YKW,0,0,2,1
"Larsendorf, R.",YKW,0,0,1,0
"Akselsen, M.",YKW,0,0,0,1
