Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Gabagool, T.",COL,8,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Sly, G.",COL,8,0,0,1/0,1,0,0,0,"[0, 0, 0]"
"Blackstone, I.",COL,7,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Purchase, L.",COL,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Parker, P.",COL,5,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Kirkby, T.",COL,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Thumper, B.",COL,4,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"de Pengu, A.",COL,3,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Sanchez, I.",COL,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Scott, R.",COL,3,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Stephens, W.",COL,2,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Virtanen, M.",YKW,8,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Cho, J.",YKW,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Hellzapoppin, J.",YKW,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Leonard, M.",YKW,5,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Snuggles, J.",YKW,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Valdyr, M.",YKW,5,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Kroustis, G.",YKW,4,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Quaid, D.",YKW,4,0,2,0/0,3,0,0,0,"[0, 0, 0]"
"Dookmarriot, L.",YKW,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Alexander, N.",YKW,2,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Money, P.",YKW,1,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Hanyadi, M.",YKW,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
