Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Sanchez, I.",COL,1,5,0,0
"Magic, M.",COL,0,0,5,0
"Centre, S.",COL,0,0,4,0
"Guard, R.",COL,0,0,3,0
"Sauce, E.",COL,0,0,3,0
"Thruster, D.",COL,0,0,2,1
"Guard, L.",COL,0,0,1,1
"Gilbert, R.",COL,0,0,1,0
"Owens, A.",COL,0,0,0,1
"Skyline, A.",YKW,1,5,1,0
"Jackson, A.",YKW,1,5,0,0
"Kroustis, G.",YKW,1,15,0,0
"Sakura, K.",YKW,1,15,0,0
"Ones, B.",YKW,0,0,7,0
"Pooky, S.",YKW,0,0,7,0
"Forty-Two, L.",YKW,0,0,5,1
"Rchonsucks, A.",YKW,0,0,3,2
"Hanyadi, M.",YKW,0,0,2,0
"Rechs, Z.",YKW,0,0,2,0
"Amper, T.",YKW,0,0,1,0
