,Q,Score Type,Time Remaining,Play,COL,YKW
1,1,TD,13:45,Johnny Snuggles 48 yd interception return. (Neo Donaldson kick),0,7
2,1,TD,4:41,Mathias Hanyadi 14 yd pass from Cooter Bigsby. (Neo Donaldson kick),0,14
3,1,FG,0:42,18 yd FG by Jordan Jackson (R),3,14
5,2,TD,12:27,Tommy Helanen 18 yd pass from Cooter Bigsby. (Neo Donaldson kick),3,21
6,2,TD,9:00,Michael Vincent 2 yd run. (Jordan Jackson (R) kick),10,21
7,2,FG,6:15,43 yd FG by Neo Donaldson,10,24
9,3,TD,10:37,Rayne Gordon (R) 17 yd pass from Cooter Bigsby. (Neo Donaldson kick),10,31
10,3,TD,7:42,Jim McMahon 18 yd pass from Wolfie McDummy. (Jordan Jackson (R) kick),17,31
12,4,FG,14:54,46 yd FG by Neo Donaldson,17,34
13,4,TD,10:56,Ashley Owens 4 yd run. (Jordan Jackson (R) kick),24,34
14,4,TD,3:48,Orien Drake 1 yd run. (Neo Donaldson XP no good),24,40
