Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Adams, R.",OCO,5,37,7.4,24,0,7,14
"Sunnycursed, N.",OCO,4,77,19.2,43,1,7,14
"Zephyrous, S.",OCO,4,31,7.8,15,0,7,14
"Crush, C.",OCO,3,54,18,34,0,7,14
"Anoa'i, D.",OCO,3,23,7.7,10,0,7,14
"Blaze, J.",OCO,3,13,4.3,7,0,7,14
"McPoyal, G.",OCO,1,10,10,10,0,7,14
"Crindy, B.",COL,11,86,7.8,12,0,7,14
"Bishop, J.",COL,6,102,17,34,1,7,14
"LaMelllana, S.",COL,4,74,18.5,41,0,7,14
"Chipmunk, A.",COL,3,31,10.3,12,0,7,14
"Grau, M.",COL,3,23,7.7,11,0,7,14
"Cansino, D.",COL,1,6,6,6,0,7,14
