,Q,Score Type,Time Remaining,Play,SJS,NO
1,1,TD,6:58,Nate Swift 5 yd pass from Monterey Jack. (Matthew McDairmid kick),7,0
2,1,FG,4:49,30 yd FG by Juke Thomason,7,3
3,1,TD,2:17,Ed Barker 33 yd pass from Ben Slothlisberger. (Juke Thomason kick),7,10
5,2,TD,11:58,Jamar Lackson 1 yd run. (Matthew McDairmid kick),14,10
6,2,TD,11:41,David Rector 92 yd kickoff return. (Juke Thomason kick),14,17
7,2,TD,6:56,Tychondrius Hood 24 yd pass from Monterey Jack. (Matthew McDairmid kick),21,17
9,3,TD,9:39,Marcella Toriki 1 yd run. (Juke Thomason kick),21,24
10,3,FG,4:30,39 yd FG by Matthew McDairmid,24,24
11,3,TD,0:00,Tychondrius Hood 37 yd pass from Monterey Jack. (Matthew McDairmid kick),31,24
13,4,TD,8:51,Rainier Wolfcastle 3 yd pass from Ben Slothlisberger. (Juke Thomason XP no good),31,30
14,4,FG,4:04,32 yd FG by Matthew McDairmid,34,30
