Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"L'Alto, V.",BAL,6,80,13.3,28,0,4,12
"Valentine, V.",BAL,5,96,19.2,49,1,4,12
"Nagasawa, Y.",BAL,5,80,16,27,0,4,12
"Harp, D.",BAL,5,32,6.4,16,1,4,12
"Summer, A.",BAL,3,15,5,10,1,4,12
"Maddox, E.",BAL,2,43,21.5,37,1,4,12
"Taylor, O.",BAL,2,5,2.5,5,0,4,12
"Wizardry, D.",YKW,5,61,12.2,25,0,4,12
"Parker, J.",YKW,5,50,10,21,0,4,12
"Pennington, B.",YKW,4,49,12.2,16,0,4,12
"Pitcher, A.",YKW,4,33,8.2,18,1,4,12
"McPoyal, G.",YKW,2,65,32.5,49,0,4,12
"Carrasco, T.",YKW,1,8,8,8,0,4,12
"Browning, B.",YKW,1,7,7,7,0,4,12
