,Q,Score Type,Time Remaining,Play,YKW,BAL
1,1,TD,8:27,Antonio Summer 8 yd run. (Turk Turkleton kick),0,7
2,1,TD,2:07,Vinny Valentine 10 yd pass from Childish Gambino. (Turk Turkleton kick),0,14
4,2,TD,12:02,Adrian Pitcher 5 yd pass from Ryan Applehort. (None Forfeit kick),7,14
5,2,TD,7:51,Antonio Summer 2 yd run. (Turk Turkleton kick),7,21
6,2,TD,4:52,Declan Harp 1 yd pass from Childish Gambino. (Turk Turkleton kick),7,28
8,3,FG,3:04,25 yd FG by Turk Turkleton,7,31
10,4,TD,12:50,Dick (R) Wizardry 1 yd run. (None Forfeit kick),14,31
11,4,TD,8:18,Antonio Summer 2 yd pass from Childish Gambino. (Turk Turkleton kick),14,38
12,4,TD,4:14,Thomas Carrasco 1 yd run. (None Forfeit kick),21,38
13,4,TD,1:58,Errol (R) Maddox 6 yd pass from Childish Gambino. (Turk Turkleton kick),21,45
