,Q,Score Type,Time Remaining,Play,COL,YKW
1,1,TD,6:20,Acura Skyline 8 yd pass from Colby Jack. (Blago Kokot (R) kick),0,7
3,2,TD,10:21,Acura Skyline 7 yd pass from Colby Jack. (Blago Kokot (R) kick),0,14
4,2,TD,7:20,Leeroy Jenkins 6 yd pass from Wolfie McDummy (C). (Silver Banana kick),7,14
5,2,FG,0:02,57 yd FG by Silver Banana,10,14
7,3,FG,11:46,38 yd FG by Blago Kokot (R),10,17
8,3,FG,9:11,35 yd FG by Silver Banana,13,17
9,3,FG,7:00,46 yd FG by Blago Kokot (R),13,20
10,3,TD,1:34,Leeroy Jenkins 2 yd pass from Wolfie McDummy (C). (Silver Banana XP no good),19,20
11,3,TD,0:00,William Lim 8 yd pass from Wolfie McDummy (C). (Silver Banana kick),26,20
13,4,FG,10:54,39 yd FG by Silver Banana,29,20
