Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Fisher, C.",OCO,2,15,1,0
"Yates, J.",OCO,2,10,1,0
"Clarke, E.",OCO,1,5,6,1
"Clegane, G.",OCO,1,5,0,0
"Ridley, D.",OCO,0,0,7,0
"Portman, N.",OCO,0,0,3,0
"Burnsman, E.",OCO,0,0,2,0
"Crush, C.",OCO,0,0,2,0
"Jones, F.",OCO,0,0,2,0
"Kroetch, D.",PHI,3,20,1,0
"DiMirio, P.",PHI,1,5,1,0
"Lee, J.",PHI,1,5,0,0
"Tucker, P.",PHI,1,5,0,0
"Filmore, M.",PHI,0,0,8,0
"Hayes, R.",PHI,0,0,4,0
"Arthur, C.",PHI,0,0,2,0
"Tyler, J.",PHI,0,0,2,0
"Van Buren, M.",PHI,0,0,1,1
