Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Ulysses, B.",NO,1,5,4,0,10,21
"Ofyourlove, S.",NO,1,5,2,0,10,21
"Arianlacher, M.",NO,1,24,0,0,10,21
"Blaylock, M.",NO,1,5,0,0,10,21
"Tu'inukuafe, B.",NO,1,7,0,0,10,21
"Rubbe, G.",NO,0,0,7,0,10,21
"McCormick, A.",NO,0,0,3,0,10,21
"Toriki, M.",NO,0,0,2,0,10,21
"Brew, S.",NO,0,0,1,0,10,21
"Gump, F.",NO,0,0,1,0,10,21
"Room, W.",NO,0,0,1,0,10,21
"Pooky, S.",YKW,1,15,4,0,10,21
"Kearse, J.",YKW,1,5,0,0,10,21
"Drake, O.",YKW,0,0,4,0,10,21
"Mushing, M.",YKW,0,0,3,1,10,21
"Rchonsucks, A.",YKW,0,0,3,1,10,21
"Amper, T.",YKW,0,0,3,0,10,21
"Hanyadi, M.",YKW,0,0,2,0,10,21
"Ones, B.",YKW,0,0,2,0,10,21
