,Q,Score Type,Time Remaining,Play,YKW,NO
1,1,SF,14:04,Cooter Bigsby tackled for a safety.,0,2
2,1,TD,8:51,Cooter Bigsby 2 yd run. (Dougie Smalls (R) kick),7,2
3,1,FG,4:30,28 yd FG by Dougie Smalls (R),10,2
5,2,TD,14:05,Nate Swift 7 yd pass from Cooter Bigsby. (Dougie Smalls (R) kick),17,2
6,2,FG,9:49,31 yd FG by Herbert Prohaska,17,5
7,2,TD,7:46,Nate Swift 25 yd pass from Cooter Bigsby. (Dougie Smalls (R) kick),24,5
8,2,FG,0:20,52 yd FG by Herbert Prohaska,24,8
10,3,TD,8:27,Forrest Gump 67 yd punt return. (Herbert Prohaska kick),24,15
11,3,TD,1:08,Jed Podolak 9 yd pass from Stan Francisco. (Herbert Prohaska kick),24,22
13,4,TD,9:41,Marcella Toriki 9 yd pass from Stan Francisco. (Herbert Prohaska kick),24,29
14,4,TD,4:46,Bender B. Rodriguez 7 yd pass from Cooter Bigsby. (2pt conversion good),32,29
