Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Andrews, J.",NO,13,0,0,0,0,0,0,0,0,0,0,0,10,21
"Bode, Q.",NO,10,1,0,1,0,0,0,0,0,0,0,0,10,21
"Blaylock, M.",NO,7,0,0,0,0,0,0,0,0,0,0,0,10,21
"Adams, X.",NO,6,0,0,1,1,0,0,0,0,0,0,0,10,21
"Slothface, J.",NO,6,0,2,1,0,0,0,0,0,0,0,0,10,21
"Faux, B.",NO,4,0,0,0,0,0,0,0,0,0,0,0,10,21
"Tu'inukuafe, B.",NO,4,1,1,0,0,1,0,0,0,0,0,0,10,21
"Ironside, B.",NO,3,0,0,0,0,0,0,0,0,0,0,0,10,21
"Taylor, D.",NO,3,0,0,0,0,0,0,0,0,0,0,0,10,21
"Arianlacher, M.",NO,1,1,0,0,0,0,0,0,0,0,0,0,10,21
"Rector, D.",NO,0,0,0,3,0,0,0,0,0,0,0,0,10,21
"Selich, A.",YKW,11,0,0,0,0,0,0,1,0,0,0,0,10,21
"Lejune, L.",YKW,9,0,0,0,0,0,0,0,0,0,0,0,10,21
"Grithead, D.",YKW,8,0,0,0,0,0,0,0,0,0,0,0,10,21
"Virtanen, M.",YKW,7,0,0,0,0,0,0,0,1,0,0,0,10,21
"Alexander, N.",YKW,6,2,0,0,0,0,0,0,0,0,0,0,10,21
"Quaid, D.",YKW,6,0,1,0,0,0,0,0,0,0,0,0,10,21
"Maulolo, C.",YKW,4,0,0,0,0,0,0,0,0,0,0,0,10,21
"Snuggles, J.",YKW,4,0,0,2,0,0,0,0,0,0,0,0,10,21
"Kearse, J.",YKW,2,0,0,0,0,0,0,0,0,0,0,0,10,21
"Kroustis, G.",YKW,2,0,0,0,0,0,0,0,0,0,0,0,10,21
"Leonard, M.",YKW,2,0,0,0,0,0,0,0,0,0,0,0,10,21
