,Q,Score Type,Time Remaining,Play,BAL,COL
1,1,TD,12:39,Errol Maddox 28 yd pass from Childish Gambino. (Alex Frost kick),7,0
2,1,FG,7:49,20 yd FG by Emilio Ramero,7,3
4,2,TD,12:12,Micycle McCormick 3 yd run. (Emilio Ramero kick),7,10
5,2,TD,9:27,Vinny Valentine 60 yd pass from Childish Gambino. (Alex Frost kick),14,10
6,2,TD,6:05,Marquise Brown 21 yd pass from Childish Gambino. (Alex Frost kick),21,10
8,3,TD,7:13,Terry Taffy 1 yd pass from Micycle McCormick. (Emilio Ramero kick),21,17
9,3,TD,6:16,Arbin Asipi III 34 yd interception return. (Alex Frost kick),28,17
10,3,TD,1:27,Terry Taffy 5 yd pass from Micycle McCormick. (Emilio Ramero kick),28,24
12,4,TD,11:16,Errol Maddox 33 yd pass from Childish Gambino. (Alex Frost kick),35,24
13,4,TD,7:19,Declan Harp 12 yd pass from Childish Gambino. (Alex Frost kick),42,24
14,4,TD,1:12,Terry Taffy 3 yd pass from Micycle McCormick. (Emilio Ramero kick),42,31
