Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"McPoyal, G.",YKW,6,63,10.5,21,0,4,10
"Kennedy, E.",YKW,5,95,19,40,1,4,10
"Atwell, T.",YKW,4,102,25.5,52,3,4,10
"Harris Jr., F.",YKW,4,22,5.5,9,0,4,10
"Rainey, R.",YKW,2,12,6,11,0,4,10
"Gore, B.",YKW,1,7,7,7,0,4,10
"Flash, X.",SJS,8,78,9.8,19,0,4,10
"Oles, K.",SJS,6,70,11.7,16,1,4,10
"Weston, S.",SJS,4,74,18.5,40,0,4,10
"Brannigan, Z.",SJS,4,59,14.8,33,0,4,10
"Tuck Jr., T.",SJS,4,24,6,9,0,4,10
"Riddick, D.",SJS,3,26,8.7,23,1,4,10
"Lagerfield, E.",SJS,1,10,10,10,0,4,10
