,Q,Score Type,Time Remaining,Play,SJS,YKW
1,1,TD,9:47,Kazmir (R) Oles 16 yd pass from Mat Akselsen. (Kyle Corbett kick),7,0
2,1,TD,5:55,Tegan Atwell 1 yd pass from Brad Pennington. (None Forfeit kick),7,7
3,1,FG,1:23,41 yd FG by Kyle Corbett,10,7
5,2,FG,10:57,25 yd FG by None Forfeit,10,10
6,2,TD,7:34,Tegan Atwell 52 yd pass from Brad Pennington. (None Forfeit kick),10,17
7,2,FG,3:34,31 yd FG by Kyle Corbett,13,17
8,2,FG,0:00,55 yd FG by Kyle Corbett,16,17
10,3,FG,11:57,42 yd FG by Kyle Corbett,19,17
11,3,TD,7:23,Tegan Atwell 1 yd pass from Brad Pennington. (None Forfeit kick),19,24
12,3,FG,0:27,30 yd FG by None Forfeit,19,27
14,4,TD,11:44,Eric Kennedy 17 yd pass from Brad Pennington. (None Forfeit kick),19,34
15,4,TD,4:42,D.J. Riddick 1 yd pass from Mat Akselsen. (Kyle Corbett kick),26,34
