Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Wolfcastle, R.",NO,1,10,2,0,7,23
"Barker, E.",NO,1,10,0,0,7,23
"Dissector, U.",NO,1,5,0,0,7,23
"Jimbo Jr., D.",NO,0,0,7,1,7,23
"Room, W.",NO,0,0,6,0,7,23
"Ofyourlove, S.",NO,0,0,5,0,7,23
"Rubbe, G.",NO,0,0,5,0,7,23
"Brew, S.",NO,0,0,4,0,7,23
"Gump, F.",NO,0,0,1,0,7,23
"McCormick, A.",NO,0,0,1,0,7,23
"Toriki, M.",NO,0,0,0,1,7,23
"Sanchez, I.",COL,2,10,0,0,7,23
"Guard, L.",COL,1,15,9,0,7,23
"Centre, S.",COL,1,5,3,0,7,23
"Purchase, L.",COL,1,5,0,0,7,23
"Selich, A.",COL,1,10,0,0,7,23
"Tackle, L.",COL,0,0,9,0,7,23
"Guard, R.",COL,0,0,8,0,7,23
"Thruster, D.",COL,0,0,4,0,7,23
"Gilbert, R.",COL,0,0,3,0,7,23
"Sauce, E.",COL,0,0,2,0,7,23
"Owens, A.",COL,0,0,1,0,7,23
