,Q,Score Type,Time Remaining,Play,COL,NO
1,1,TD,5:45,Ed Barker 16 yd pass from Stan Francisco. (Herbert Prohaska kick),0,7
3,2,FG,8:23,44 yd FG by Silver Banana,3,7
4,2,FG,1:58,43 yd FG by Herbert Prohaska,3,10
6,3,TD,11:37,Ed Barker 26 yd pass from Stan Francisco. (Herbert Prohaska kick),3,17
7,3,TD,3:00,Ashley Owens 2 yd run. (Silver Banana kick),10,17
9,4,FG,14:36,25 yd FG by Herbert Prohaska,10,20
10,4,TD,12:55,Ashley Owens 5 yd run. (Silver Banana kick),17,20
11,4,FG,8:57,17 yd FG by Herbert Prohaska,17,23
12,4,FG,4:13,44 yd FG by Herbert Prohaska,17,26
13,4,TD,0:15,Wolfie McDummy 3 yd run. (Silver Banana kick),24,26
