,Q,Score Type,Time Remaining,Play,OCO,PHI
1,1,TD,10:15,Tegan Atwell 22 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),7,0
2,1,TD,6:29,None (R) Sunnycursed 18 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,0
3,1,TD,6:00,Andre Bly Jr. 23 yd interception return. (Adam Anderson kick),21,0
4,1,TD,1:39,Marquise Brown 11 yd run. (Kulture Fulture kick),21,7
6,2,FG,13:36,28 yd FG by Adam Anderson,24,7
7,2,FG,0:23,38 yd FG by Adam Anderson,27,7
9,3,TD,8:51,Marquise Brown 2 yd run. (Kulture Fulture kick),27,14
10,3,TD,5:44,K.J. Becker 23 yd interception return. (Kulture Fulture kick),27,21
12,4,FG,3:50,24 yd FG by Kulture Fulture,27,24
13,4,FG,0:00,26 yd FG by Adam Anderson,30,24
