,Q,Score Type,Time Remaining,Play,SJS,COL
1,1,FG,11:43,44 yd FG by Micycle McCormick,0,3
2,1,TD,8:19,Howard Miller 3 yd pass from Ryan Applehort. (Micycle McCormick kick),0,10
3,1,FG,0:05,24 yd FG by Micycle McCormick,0,13
5,2,TD,8:31,Howard Miller 24 yd pass from Ryan Applehort. (Micycle McCormick kick),0,20
6,2,FG,0:24,47 yd FG by Micycle McCormick,0,23
8,3,TD,11:15,Andre Bly Jr. 54 yd punt return. (Micycle McCormick kick),0,30
9,3,FG,2:52,18 yd FG by Micycle McCormick,0,33
10,3,TD,1:36,Howard Miller 6 yd pass from Ryan Applehort. (Micycle McCormick kick),0,40
12,4,TD,11:28,Dwayne Aaron 5 yd pass from Ryan Applehort. (Micycle McCormick kick),0,47
13,4,FG,6:32,19 yd FG by Kyle Corbett,3,47
14,4,TD,1:28,Damien Kroetch 4 yd run. (Micycle McCormick kick),3,54
