,Q,Score Type,Time Remaining,Play,PHI,YKW
1,1,FG,8:52,36 yd FG by Kulture Fulture,3,0
3,2,TD,14:44,Marquise Brown 10 yd run. (Kulture Fulture kick),10,0
4,2,TD,6:58,Sam Hardwick 19 yd pass from Adriana Falconi. (Kulture Fulture kick),17,0
5,2,TD,3:09,Tommy Helanen 7 yd pass from Ryan Applehort. (None Forfeit kick),17,7
6,2,FG,0:15,50 yd FG by Kulture Fulture,20,7
8,3,FG,9:06,26 yd FG by None Forfeit,20,10
9,3,FG,4:03,34 yd FG by Kulture Fulture,23,10
10,3,TD,0:41,Marquise Brown 59 yd pass from Adriana Falconi. (Kulture Fulture kick),30,10
12,4,TD,11:36,Dick Wizardry 2 yd run. (None Forfeit kick),30,17
13,4,TD,5:39,Adrian Pitcher 13 yd pass from Ryan Applehort. (None Forfeit kick),30,24
14,4,TD,2:35,Brad Pennington 1 yd pass from Ryan Applehort. (None Forfeit kick),30,31
15,4,FG,0:28,50 yd FG by Kulture Fulture,33,31
