Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Miller, H.",COL,6,87,14.5,37,2,13,10
"North, F.",COL,6,53,8.8,14,0,13,10
"Aaron, D.",COL,5,116,23.2,39,0,13,10
"Chipmunk, A.",COL,4,21,5.2,9,1,13,10
"Grau, M.",COL,4,7,1.8,6,0,13,10
"Kroetch, D.",COL,1,18,18,18,0,13,10
"Joyce, S.",COL,1,4,4,4,0,13,10
"McPoyal, G.",YKW,6,94,15.7,30,0,13,10
"Atwell, T.",YKW,5,134,26.8,48,2,13,10
"Harris Jr., F.",YKW,5,40,8,14,0,13,10
"Kennedy, E.",YKW,5,34,6.8,10,0,13,10
"Lavelle, D.",YKW,2,31,15.5,17,0,13,10
"Gore, B.",YKW,1,8,8,8,0,13,10
"Cook, B.",YKW,1,6,6,6,0,13,10
"Rainey, R.",YKW,1,1,1,1,0,13,10
