,Q,Score Type,Time Remaining,Play,YKW,COL
1,1,FG,4:27,28 yd FG by None Forfeit,3,0
2,1,FG,0:31,19 yd FG by Micycle McCormick,3,3
4,2,TD,11:56,Tegan Atwell 35 yd pass from Brad Pennington. (None Forfeit kick),10,3
5,2,TD,2:57,Howard Miller 4 yd pass from Ryan Applehort. (Micycle McCormick kick),10,10
6,2,TD,0:01,Tegan Atwell 19 yd pass from Brad Pennington. (None Forfeit kick),17,10
8,3,TD,7:32,Alvin Chipmunk 3 yd pass from Ryan Applehort. (Micycle McCormick kick),17,17
9,3,TD,5:44,Howard Miller 37 yd pass from Ryan Applehort. (Micycle McCormick kick),17,24
10,3,FG,3:08,40 yd FG by None Forfeit,20,24
11,3,TD,2:50,Howard Miller 104 yd kickoff return. (Micycle McCormick kick),20,31
12,3,TD,2:35,Dermot Lavelle 108 yd kickoff return. (None Forfeit kick),27,31
14,4,FG,3:08,22 yd FG by Micycle McCormick,27,34
