,Q,Score Type,Time Remaining,Play,BAL,PHI
1,1,TD,7:27,Flash Panda 2 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),0,7
2,1,TD,0:00,Korbin Brown (R) 4 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),7,7
4,2,FG,9:22,33 yd FG by Jake Fencik (R),7,10
5,2,FG,6:44,47 yd FG by Datsum PhastBawls,10,10
6,2,FG,0:47,29 yd FG by Jake Fencik (R),10,13
8,3,TD,0:00,Joshua Campbell (R) 40 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),17,13
10,4,FG,10:39,27 yd FG by Jake Fencik (R),17,16
11,4,TD,7:54,Mai Fukushu 3 yd run. (Datsum PhastBawls kick),24,16
12,4,TD,0:59,Captain Rogers (R) 5 yd run. (2pt conversion good),24,24
14,5,TD,9:52,Sam Torenson 5 yd pass from Brock Phoenix (C).,24,30
