Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Vuxta, R.",PHI,6,84,14,34,0,13,25
"Blocksdale Jr., A.",PHI,6,61,10.2,16,0,13,25
"Dotson, F.",PHI,6,47,7.8,14,0,13,25
"Panda, F.",PHI,5,85,17,31,1,13,25
"Chambers, K.",PHI,3,57,19,34,0,13,25
"Torenson, S.",PHI,3,17,5.7,7,1,13,25
"Arrabiata, D.",PHI,2,23,11.5,20,0,13,25
"Rogers, C.",PHI,1,3,3,3,0,13,25
"Lewandowski, J.",BAL,9,47,5.2,14,0,13,25
"Howlett, D.",BAL,7,105,15,34,0,13,25
"Campbell, J.",BAL,6,140,23.3,68,1,13,25
"Brown, K.",BAL,6,42,7,15,1,13,25
"Fukushu, M.",BAL,1,15,15,15,0,13,25
"Tyerucker, Q.",BAL,1,4,4,4,0,13,25
