,Q,Score Type,Time Remaining,Play,BAL,SJS
1,1,FG,13:34,57 yd FG by Turk Turkleton,3,0
2,1,TD,9:36,Trey Willie 19 yd pass from Avon Blocksdale. (Turk Turkleton XP no good),9,0
3,1,TD,2:40,Avon Blocksdale 7 yd run. (Turk Turkleton kick),16,0
4,1,TD,0:00,Trey Willie 43 yd pass from Avon Blocksdale. (Turk Turkleton kick),23,0
6,2,TD,5:45,Tor Tuck Jr. 3 yd pass from Mat Akselsen. (Kyle Corbett kick),23,7
7,2,TD,1:08,Kazmir (R) Oles 14 yd pass from Mat Akselsen. (Kyle Corbett kick),23,14
9,3,TD,11:34,Shane Weston 38 yd pass from Mat Akselsen. (Kyle Corbett kick),23,21
10,3,FG,7:58,45 yd FG by Turk Turkleton,26,21
12,4,FG,13:56,45 yd FG by Kyle Corbett,26,24
13,4,TD,9:34,Declan (R) Harp 3 yd pass from Avon Blocksdale. (Turk Turkleton kick),33,24
14,4,FG,5:01,39 yd FG by Turk Turkleton,36,24
15,4,FG,0:00,36 yd FG by Turk Turkleton,39,24
