,Q,Score Type,Time Remaining,Play,PHI,BAL
1,1,TD,9:44,Owen Taylor 4 yd run. (Turk Turkleton kick),0,7
2,1,FG,2:40,34 yd FG by Turk Turkleton,0,10
4,2,TD,11:56,Verso L'Alto 25 yd pass from Avon Blocksdale. (Turk Turkleton kick),0,17
5,2,TD,8:16,Budda Browning 7 yd pass from Avon Blocksdale. (Turk Turkleton XP no good),0,23
6,2,TD,3:53,Dominic Verns 47 yd interception return. (Beat (R) Meoff kick),7,23
7,2,TD,1:05,Owen Taylor 6 yd run. (Turk Turkleton kick),7,30
9,3,FG,13:05,34 yd FG by Turk Turkleton,7,33
10,3,TD,6:11,Bubba Nuck 1 yd run. (Turk Turkleton kick),7,40
12,4,TD,12:39,Arbin Asipi Jr. 1 yd fumble return. (Turk Turkleton kick),7,47
13,4,TD,6:15,Owen Taylor 3 yd run. (Turk Turkleton kick),7,54
